,opis,dzielnica,no_rooms,cena,flat_area,price,link,data,ulica,lokator_ulica_dzielnica,geo_location,rodzaj,point,latitude,longitude,altitude
42,2 pokoje inwestycyjnie Centrum,: Śródmieście,2.0,349 000 ,33.4,10449.0,https://www.otodom.pl/oferta/2-pokoje-inwestycyjnie-centrum-ID3WZ2E.html#3f7ebb237a,2019-03-07 15:26:01.295509,,"Kraków, : Śródmieście, ","Śródmieście, Prądnik Czerwony, Kraków, województwo małopolskie, Polska",dzielnica_ulica,"(50.09244545, 19.981457132908645, 0.0)",50.09244545,19.981457132908645,0.0
47,2 pokojowe z Ogródkiem  Gotowe VI 2019  Żabiniec,: Żabiniec,2.0,385 000 ,56.5,6814.0,https://www.otodom.pl/oferta/2-pokojowe-z-ogrodkiem-gotowe-vi-2019-zabiniec-ID3WYQ4.html#3f7ebb237a,2019-03-07 15:26:01.295509,Żabiniec,"Kraków, : Żabiniec, Żabiniec","Żabiniec, Osiedle Żabiniec, Prądnik Biały, Kraków, województwo małopolskie, 31-215, Polska",dzielnica_ulica,"(50.0821999, 19.9463442, 0.0)",50.0821999,19.9463442,0.0
49,Mieszkanie 3 pok. na sprzedaż   65m2   Kurdwanów,: Kurdwanów,3.0,449 000 ,65.0,6908.0,https://www.otodom.pl/oferta/mieszkanie-3-pok-na-sprzedaz-65m2-kurdwanow-ID3WYCI.html#3f7ebb237a,2019-03-07 15:26:01.296512,,"Kraków, : Kurdwanów, ","Kurdwanów, Podgórze Duchackie, Kraków, województwo małopolskie, Polska",dzielnica_ulica,"(50.0082445, 19.9550913, 0.0)",50.0082445,19.9550913,0.0
51,Mieszkanie na Krowodrzy 2 pokoje 38m2 inwestycja,: Krowodrza Górka,2.0,259 000 ,38.0,6816.0,https://www.otodom.pl/oferta/mieszkanie-na-krowodrzy-2-pokoje-38m2-inwestycja-ID3WYxm.html#3f7ebb237a,2019-03-07 15:26:01.296512,,"Kraków, : Krowodrza Górka, ","Krowodrza Górka, Krowodrza, Prądnik Biały, Kraków, województwo małopolskie, Polska",dzielnica_ulica,"(50.08843065, 19.930726167631875, 0.0)",50.08843065,19.930726167631875,0.0
57,Kapelanka 6a   high standard   parking place!,: Dębniki,2.0,545 000 ,49.8,10944.0,https://www.otodom.pl/oferta/kapelanka-6a-high-standard-parking-place-ID3WYuc.html#3f7ebb237a,2019-03-07 15:26:01.296512,Kapelanka,"Kraków, : Dębniki, Kapelanka","Kapelanka, Osiedle Podwawelskie, Dębniki, Kraków, województwo małopolskie, 30-346, Polska",dzielnica_ulica,"(50.0434871, 19.9227043, 0.0)",50.0434871,19.9227043,0.0
58,2 pok. gotowe do zamieszkania! Bieńczyce Okazja,: Bieńczyce,2.0,265 000 ,37.0,7162.0,https://www.otodom.pl/oferta/2-pok-gotowe-do-zamieszkania-bienczyce-okazja-ID3WYrC.html#3f7ebb237a,2019-03-07 15:26:01.296512,Bieńczyckie,"Kraków, : Bieńczyce, Bieńczyckie","Planty Bieńczyckie, Bieńczyce, Kraków, województwo małopolskie, 31-845, Polska",dzielnica_ulica,"(50.08937935, 20.011360169078962, 0.0)",50.08937935,20.011360169078962,0.0
59,Prokocim  3 pokoje,: Bieżanów-Prokocim,3.0,315 000 ,51.2,6152.0,https://www.otodom.pl/oferta/prokocim-3-pokoje-ID3WYmU.html#3f7ebb237a,2019-03-07 15:26:01.297515,Prokocimia,"Kraków, : Bieżanów-Prokocim, Prokocimia","Prokocim, Bieżanów-Prokocim, Kraków, województwo małopolskie, Polska",dzielnica_ulica,"(50.0226748, 19.9921741, 0.0)",50.0226748,19.9921741,0.0
65,2 pokoje 37m2  Na Lotnisku.,: Górka Narodowa,2.0,265 000 ,36.35,7290.0,https://www.otodom.pl/oferta/2-pokoje-37m2-os-na-lotnisku-ID3WVza.html#85fbb29208,2019-03-07 15:26:02.253062,Lotnisko,"Kraków, : Górka Narodowa, Lotnisko","Lądowisko Rakowice-Czyżyny, Stefana Jurczaka, Czyżyny, Kraków, województwo małopolskie, 31-634, Polska",dzielnica_ulica,"(50.0846957, 19.9886787, 0.0)",50.0846957,19.9886787,0.0
66,Piękne Mieszkanie Niedawno Wyremontowane Pod Najem,: Nowa Huta,2.0,266 000 ,37.0,7189.0,https://www.otodom.pl/oferta/piekne-mieszkanie-niedawno-wyremontowane-pod-najem-ID3WVk4.html#85fbb29208,2019-03-07 15:26:02.253062,Gajem,"Kraków, : Nowa Huta, Gajem","Pod Gajem, Wróżenice, Nowa Huta, Kraków, województwo małopolskie, 31-999, Polska",dzielnica_ulica,"(50.1138325, 20.189733, 0.0)",50.1138325,20.189733,0.0
69,Apartamet w ścisłym Centrum Krakowa STARE MIASTO,: Stare Miasto,1.0,345 000 ,21.0,16429.0,https://www.otodom.pl/oferta/apartamet-w-scislym-centrum-krakowa-stare-miasto-ID3WYbe.html#85fbb29208,2019-03-07 15:26:02.253062,,"Kraków, : Stare Miasto, ","Stare Miasto, Kraków, województwo małopolskie, Polska",dzielnica_ulica,"(50.0590398, 19.93716829792899, 0.0)",50.0590398,19.93716829792899,0.0
71,Mieszkanie w centrum Krakowa 69m2  3 pokoje,: Grzegórzki,3.0,600 000 ,69.0,8696.0,https://www.otodom.pl/oferta/mieszkanie-w-centrum-krakowa-69m2-3-pokoje-ID3WY68.html#85fbb29208,2019-03-07 15:26:02.254066,Krakowa,"Kraków, : Grzegórzki, Krakowa","Fabryka Emalia Oskara Schindlera, 4, Lipowa, Zabłocie, Podgórze, Kraków, województwo małopolskie, 30-702, Polska",dzielnica_ulica,"(50.047454849999994, 19.961710662081337, 0.0)",50.047454849999994,19.961710662081337,0.0
73,Mieszkanie 3 pokojowe   Kraków  3 5 km od Centrum,: Prądnik Biały,3.0,347 900 ,47.0,7402.0,https://www.otodom.pl/oferta/mieszkanie-3-pokojowe-krakow-3-5-km-od-centrum-ID3WY5V.html#85fbb29208,2019-03-07 15:26:02.254066,,"Kraków, : Prądnik Biały, ","Prądnik Biały, Kraków, województwo małopolskie, Polska",dzielnica_ulica,"(50.1035684, 19.953603106301202, 0.0)",50.1035684,19.953603106301202,0.0
74,Krowodrza 3 pok. mieszkanie w super lokalizacji !,: Krowodrza,3.0,436 000 ,59.0,7390.0,https://www.otodom.pl/oferta/krowodrza-3-pok-mieszkanie-w-super-lokalizacji-ID3WY60.html#85fbb29208,2019-03-07 15:26:02.254066,Krowoderska,"Kraków, : Krowodrza, Krowoderska","Krowoderska, Kleparz, Stare Miasto, Kraków, województwo małopolskie, 32-158, Polska",dzielnica_ulica,"(50.0723986, 19.9317322, 0.0)",50.0723986,19.9317322,0.0
76,Dom w cenie mieszkania! ok.   Łokietka,: małopolskie,3.0,384 960 ,64.0,6015.0,https://www.otodom.pl/oferta/dom-w-cenie-mieszkania-ok-ul-lokietka-ID3WY5K.html#85fbb29208,2019-03-07 15:26:02.254066,Łokietka,"Kraków, : małopolskie, Łokietka","Łokietka, Władysława Łokietka, Azory, Prądnik Biały, Kraków, województwo małopolskie, 31-279, Polska",dzielnica_ulica,"(50.085377, 19.9235123, 0.0)",50.085377,19.9235123,0.0
88,Obozowa  38m2  2 Pokoje  Balkon,: Borek Fałęcki,2.0,299 000 ,38.0,7868.0,https://www.otodom.pl/oferta/obozowa-38m2-2-pokoje-balkon-ID3WXEU.html#85fbb29208,2019-03-07 15:26:02.255068,Obozowa,"Kraków, : Borek Fałęcki, Obozowa","Obozowa, Osiedle Polana Żywiecka, Łagiewniki-Borek Fałęcki, Kraków, województwo małopolskie, 30-427, Polska",dzielnica_ulica,"(50.0119784, 19.9084164, 0.0)",50.0119784,19.9084164,0.0
99,2 pok. mieszkanie 33 mkw  Mistrzejowice,: Mistrzejowice,2.0,234 430 ,33.49,7000.0,https://www.otodom.pl/oferta/2-pok-mieszkanie-33-mkw-mistrzejowice-ID3WXlV.html#d245b9f81f,2019-03-07 15:26:03.120374,Mistrzejowicka,"Kraków, : Mistrzejowice, Mistrzejowicka","Mistrzejowicka, Mistrzejowice, Kraków, województwo małopolskie, 31-638, Polska",dzielnica_ulica,"(50.094553, 20.0276976, 0.0)",50.094553,20.0276976,0.0
