,opis,dzielnica,no_rooms,cena,flat_area,price,link,data,lokator_dzielnica,ulica,lokator_ulica,geo_location,rodzaj,point,latitude,longitude,altitude
2229,Widok na Wawel  3 pok    Wielopole  Kraków,: Stare Miasto,3.0,790 000 ,75.0,10533.0,https://www.otodom.pl/oferta/widok-na-wawel-3-pok-ul-wielopole-krakow-ID3XdlV.html#b7c17405d5,2019-03-26 16:02:02.427048,"Krakow , : Stare Miasto",Widok,Kraków Widok,"Widok, Dąbie, Grzegórzki, Kraków, województwo małopolskie, 31-567, Polska",ulica,"(50.0573772, 19.9789268, 0.0)",50.0573772,19.9789268,0.0
2235,Tysiąclecia 3 pok.47 m2,: Mistrzejowice,3.0,389 000 ,47.0,8277.0,https://www.otodom.pl/oferta/tysiaclecia-3-pok-47-m2-ID3XcYv.html#b7c17405d5,2019-03-26 16:02:02.428051,"Krakow , : Mistrzejowice",Tysiąclecia,Kraków Tysiąclecia,"Osiedle Tysiąclecia, Mistrzejowice, Kraków, województwo małopolskie, Polska",ulica,"(50.0917147, 20.0012344, 0.0)",50.0917147,20.0012344,0.0
2238,Wola Justowska | II piętro | 2 pokoje,: Wola Justowska,3.0,756 000 ,76.0,9947.0,https://www.otodom.pl/oferta/wola-justowska-ii-pietro-2-pokoje-ID3XcS4.html#b7c17405d5,2019-03-26 16:02:02.428051,"Krakow , : Wola Justowska",Justowska,Kraków Justowska,"Justowska, Osiedle Widok Zarzecze, Bronowice, Kraków, województwo małopolskie, 30-138, Polska",ulica,"(50.0754855, 19.8840381, 0.0)",50.0754855,19.8840381,0.0
2240,Stare Dębniki   mieszkanie z widokiem na Wawel,: Stare Dębniki,3.0,439 000 ,52.0,8442.0,https://www.otodom.pl/oferta/stare-debniki-mieszkanie-z-widokiem-na-wawel-ID3XcOU.html#b7c17405d5,2019-03-26 16:02:02.428051,"Krakow , : Stare Dębniki",Wawelu,Kraków Wawelu,"Bazylika archikatedralna pw. Świętych Stanisława i Wacława, 1, Zamek Królewski na Wawelu, Stare Miasto, Kraków, województwo małopolskie, 31-001, Polska",ulica,"(50.05465045, 19.935455391368265, 0.0)",50.05465045,19.935455391368265,0.0
2241,3 pok.mieszkanie 79 m2   Schweitzera,: Rżąka,3.0,549 000 ,79.0,6949.0,https://www.otodom.pl/oferta/3-pok-mieszkanie-79-m2-ul-schweitzera-ID3XcMU.html#b7c17405d5,2019-03-26 16:02:02.429053,"Krakow , : Rżąka",Schweitzera,Kraków Schweitzera,"Alberta Schweitzera, Rżąka, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-695, Polska",ulica,"(50.0075926, 20.0112822, 0.0)",50.0075926,20.0112822,0.0
2243,Kraków – Stare Grzegórzki – Al. Daszyńskiego –69m2,: Grzegórzki,3.0,589 000 ,69.0,8536.0,https://www.otodom.pl/oferta/krakow-stare-grzegorzki-al-daszynskiego-69m2-ID3XcLu.html#b7c17405d5,2019-03-26 16:02:02.429053,"Krakow , : Grzegórzki",Daszyńskiego,Kraków Daszyńskiego,"Aleja Ignacego Daszyńskiego, Grzegórzki, Kraków, województwo małopolskie, 31-537, Polska",ulica,"(50.056992, 19.9521515, 0.0)",50.056992,19.9521515,0.0
2244,Wykończone 2 pokojowe Aleja Pokoju,: Nowa Huta,2.0,454 155 ,46.6,9746.0,https://www.otodom.pl/oferta/wykonczone-2-pokojowe-aleja-pokoju-ID3XcGk.html#b7c17405d5,2019-03-26 16:02:02.429053,"Krakow , : Nowa Huta",Pokoju,Kraków Pokoju,"Aleja Pokoju, Dąbie, Grzegórzki, Kraków, województwo małopolskie, 31-557, Polska",ulica,"(50.0618138, 19.9812356, 0.0)",50.0618138,19.9812356,0.0
2246,3 pok Nowy Przewóz 60m2 duży taras  dla rodziny,: Przewóz,3.0,530 000 ,60.61,8744.0,https://www.otodom.pl/oferta/3-pok-nowy-przewoz-60m2-duzy-taras-dla-rodziny-ID3X7RG.html#461619a5cf,2019-03-26 16:02:04.573614,"Krakow , : Przewóz",Rodziny,Kraków Rodziny,"Katolickie Szkoły im.Świętej Rodziny z Nazaretu, Pędzichów, Kleparz, Stare Miasto, Kraków, województwo małopolskie, 31-152, Polska",ulica,"(50.06999585, 19.94018479506805, 0.0)",50.06999585,19.94018479506805,0.0
2248,2 pok. na   Radzikowskiego,: Krowodrza,2.0,329 000 ,42.0,7833.0,https://www.otodom.pl/oferta/2-pok-na-ul-radzikowskiego-ID3X9VY.html#461619a5cf,2019-03-26 16:02:04.573614,"Krakow , : Krowodrza",Idzikowskiego,Kraków Idzikowskiego,"Ludwika Idzikowskiego, Rakowice, Grzegórzki, Kraków, województwo małopolskie, 31-519, Polska",ulica,"(50.0768625, 19.9600088, 0.0)",50.0768625,19.9600088,0.0
2256,3 Pokoje  Jasna Kuchnia  Duży Balon ,: Mistrzejowice Nowe,3.0,360 000 ,45.0,8000.0,https://www.otodom.pl/oferta/3-pokoje-jasna-kuchnia-duzy-balon-ID3XcsQ.html#461619a5cf,2019-03-26 16:02:04.573614,"Krakow , : Mistrzejowice Nowe",Jasna,Kraków Jasna,"Jasna, Prądnik Biały, Kraków, województwo małopolskie, 31-225, Polska",ulica,"(50.0963847, 19.9306183, 0.0)",50.0963847,19.9306183,0.0
2280,3 Pokojowe na Ruczaju !!,: Kobierzyn,3.0,499 000 ,64.0,7797.0,https://www.otodom.pl/oferta/3-pokojowe-na-ruczaju-ID3XbKE.html#948935011d,2019-03-26 16:02:06.464125,"Krakow , : Kobierzyn",Ruczaj,Kraków Ruczaj,"Ruczaj, Osiedle Ruczaj-Zaborze, Łagiewniki-Borek Fałęcki, Kraków, województwo małopolskie, 30-410, Polska",ulica,"(50.0250823, 19.9239263, 0.0)",50.0250823,19.9239263,0.0
2281,2 pokoje Kraków Górka Narodowa,: Górka Narodowa,2.0,410 000 ,44.0,9318.0,https://www.otodom.pl/oferta/2-pokoje-krakow-gorka-narodowa-ID3XbKg.html#948935011d,2019-03-26 16:02:06.464125,"Krakow , : Górka Narodowa",Narodowa,Kraków Narodowa,"Witkowice-Górka Narodowa Wschód, Prądnik Biały, Kraków, województwo małopolskie, 31-241, Polska",ulica,"(50.1021918, 19.9704174, 0.0)",50.1021918,19.9704174,0.0
2291,2 pok Stachiewicza,: Krowodrza,2.0,299 000 ,37.0,8081.0,https://www.otodom.pl/oferta/2-pok-stachiewicza-ID3Xbgv.html#948935011d,2019-03-26 16:02:06.465130,"Krakow , : Krowodrza",Stachowicza,Kraków Stachowicza,"Michała Stachowicza, Półwsie Zwierzynieckie, Zwierzyniec, Kraków, województwo małopolskie, 30-103, Polska",ulica,"(50.0552789, 19.9221976, 0.0)",50.0552789,19.9221976,0.0
2293,2 pok Teligi Nowe,: Bieżanów-Prokocim,2.0,283 000 ,36.0,7861.0,https://www.otodom.pl/oferta/2-pok-teligi-nowe-ID3Xbgo.html#948935011d,2019-03-26 16:02:06.465130,"Krakow , : Bieżanów-Prokocim",Teligi,Kraków Teligi,"Teligi, Nowy Bieżanów, Bieżanów-Prokocim, Kraków, województwo małopolskie, Polska",ulica,"(50.0165281, 20.006306249999977, 0.0)",50.0165281,20.006306249999977,0.0
