opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data
2 pokoje inwestycyjnie-Centrum;: Śródmieście;2 pokoje;399 000 ;40,04 ;9 965 /;https://www.otodom.pl/oferta/2-pokoje-inwestycyjnie-centrum-ID3WZ2M.html#3f7ebb237a;2019-03-07 15:26:01.295509
2 pokoje inwestycyjnie-Centrum;: Śródmieście;2 pokoje;349 000 ;34,93 ;9 991 /;https://www.otodom.pl/oferta/2-pokoje-inwestycyjnie-centrum-ID3WZ2I.html#3f7ebb237a;2019-03-07 15:26:01.295509
2 pokoje inwestycyjnie-Centrum;: Śródmieście;2 pokoje;349 000 ;33,40 ;10 449 /;https://www.otodom.pl/oferta/2-pokoje-inwestycyjnie-centrum-ID3WZ2E.html#3f7ebb237a;2019-03-07 15:26:01.295509
2/3 pokoje w nowym budownictwie - Kliny;: Kliny-Zacisze;3 pokoje;379 000 ;62,80 ;6 035 /;https://www.otodom.pl/oferta/2-3-pokoje-w-nowym-budownictwie-kliny-ID3WZ2v.html#3f7ebb237a;2019-03-07 15:26:01.295509
Mieszkanie, 47 , Kraków;: Prądnik Czerwony;3 pokoje;320 500 ;47 ;6 819 /;https://www.otodom.pl/oferta/mieszkanie-47-m-krakow-ID3WYX6.html#3f7ebb237a;2019-03-07 15:26:01.295509
Mieszkanie, 52 , Kraków;: Krowodrza;3 pokoje;388 000 ;52 ;7 462 /;https://www.otodom.pl/oferta/mieszkanie-52-m-krakow-ID3WYTm.html#3f7ebb237a;2019-03-07 15:26:01.295509
Gotowe mieszkanie w nowym bloku!;: Nowa Huta;1 pokój;215 000 ;29,19 ;7 366 /;https://www.otodom.pl/oferta/gotowe-mieszkanie-w-nowym-bloku-ID3WYS0.html#3f7ebb237a;2019-03-07 15:26:01.295509
2-pokojowe z Ogródkiem, Gotowe VI 2019, Żabiniec;: Żabiniec;2 pokoje;385 000 ;56,50 ;6 814 /;https://www.otodom.pl/oferta/2-pokojowe-z-ogrodkiem-gotowe-vi-2019-zabiniec-ID3WYQ4.html#3f7ebb237a;2019-03-07 15:26:01.295509
Z widokiem na Wawel, winda w kamienicy, antresola;: Kazimierz;1 pokój;390 000 ;30 ;13 000 /;https://www.otodom.pl/oferta/z-widokiem-na-wawel-winda-w-kamienicy-antresola-ID3WYHa.html#3f7ebb237a;2019-03-07 15:26:01.296512
Mieszkanie 3 pok. na sprzedaż - 65m2 - Kurdwanów;: Kurdwanów;3 pokoje;449 000 ;65 ;6 908 /;https://www.otodom.pl/oferta/mieszkanie-3-pok-na-sprzedaz-65m2-kurdwanow-ID3WYCI.html#3f7ebb237a;2019-03-07 15:26:01.296512
dwupoziomowy szeregowiec Prądnik Biały;: Prądnik Biały;4 pokoje;670 000 ;72 ;9 306 /;https://www.otodom.pl/oferta/dwupoziomowy-szeregowiec-pradnik-bialy-ID3WYxa.html#3f7ebb237a;2019-03-07 15:26:01.296512
Mieszkanie na Krowodrzy 2 pokoje 38m2 inwestycja;: Krowodrza Górka;2 pokoje;259 000 ;38 ;6 816 /;https://www.otodom.pl/oferta/mieszkanie-na-krowodrzy-2-pokoje-38m2-inwestycja-ID3WYxm.html#3f7ebb237a;2019-03-07 15:26:01.296512
dwupoziomowy apartament stare Miasto, garaż;: Centrum;4 pokoje;939 000 ;86 ;10 919 /;https://www.otodom.pl/oferta/dwupoziomowy-apartament-stare-miasto-garaz-ID3WYx6.html#3f7ebb237a;2019-03-07 15:26:01.296512
Nowoczesne mieszkanie 29m2;: Kazimierz;1 pokój;408 000 ;29 ;14 069 /;https://www.otodom.pl/oferta/nowoczesne-mieszkanie-29m2-ID3WYx2.html#3f7ebb237a;2019-03-07 15:26:01.296512
1 pok Agatowa 27m2 Nowe;: ocień;3 pokoje;188 000 ;27 ;6 963 /;https://www.otodom.pl/oferta/1-pok-agatowa-27m2-nowe-ID3WYvY.html#3f7ebb237a;2019-03-07 15:26:01.296512
4 pok Grota Roweckiego;: Ruczaj;4 pokoje;642 000 ;76,88 ;8 351 /;https://www.otodom.pl/oferta/4-pok-grota-roweckiego-ID3WYvU.html#3f7ebb237a;2019-03-07 15:26:01.296512
3 pok. Agatowa;: ocień;3 pokoje;275 000 ;49 ;5 612 /;https://www.otodom.pl/oferta/3-pok-agatowa-ID3WYvQ.html#3f7ebb237a;2019-03-07 15:26:01.296512
Kapelanka 6a - high standard - parking place!;: Dębniki;2 pokoje;545 000 ;49,80 ;10 944 /;https://www.otodom.pl/oferta/kapelanka-6a-high-standard-parking-place-ID3WYuc.html#3f7ebb237a;2019-03-07 15:26:01.296512
2 pok. gotowe do zamieszkania! Bieńczyce Okazja;: Bieńczyce;2 pokoje;265 000 ;37 ;7 162 /;https://www.otodom.pl/oferta/2-pok-gotowe-do-zamieszkania-bienczyce-okazja-ID3WYrC.html#3f7ebb237a;2019-03-07 15:26:01.296512
Prokocim, 3 pokoje;: Bieżanów-Prokocim;3 pokoje;315 000 ;51,20 ;6 152 /;https://www.otodom.pl/oferta/prokocim-3-pokoje-ID3WYmU.html#3f7ebb237a;2019-03-07 15:26:01.297515
Apartament u stóp Wawelu;: Stare Miasto;2 pokoje;745 000 ;52,50 ;14 190 /;https://www.otodom.pl/oferta/apartament-u-stop-wawelu-ID3Wbnu.html#85fbb29208;2019-03-07 15:26:02.252060
w sąsiedztwie Rynku Głównego / 2 miejsca postojowe;: Stare Miasto;4 pokoje;777 000 ;87,20 ;8 911 /;https://www.otodom.pl/oferta/w-sasiedztwie-rynku-glownego-2-miejsca-postojowe-ID3WKZS.html#85fbb29208;2019-03-07 15:26:02.253062
Bezpośrednio - 2 pokoje Nowa Huta 37m2;: Nowa Huta;2 pokoje;234 000 ;37 ;6 324 /;https://www.otodom.pl/oferta/bezposrednio-2-pokoje-nowa-huta-37m2-ID3WYov.html#85fbb29208;2019-03-07 15:26:02.253062
Bezpośrednio - Kawalerka os.Strusia 25m2;: Nowa Huta;1 pokój;228 000 ;25 ;9 120 /;https://www.otodom.pl/oferta/bezposrednio-kawalerka-os-strusia-25m2-ID3WYIY.html#85fbb29208;2019-03-07 15:26:02.253062
Kawalerka Kraków Podgórze;: Podgórze;1 pokój;180 000 ;17,60 ;10 227 /;https://www.otodom.pl/oferta/kawalerka-krakow-podgorze-ID3WXBV.html#85fbb29208;2019-03-07 15:26:02.253062
2-pokoje 37m2 os.Na Lotnisku.;: Górka Narodowa;2 pokoje;265 000 ;36,35 ;7 290 /;https://www.otodom.pl/oferta/2-pokoje-37m2-os-na-lotnisku-ID3WVza.html#85fbb29208;2019-03-07 15:26:02.253062
Piękne Mieszkanie Niedawno Wyremontowane Pod Najem;: Nowa Huta;2 pokoje;266 000 ;37 ;7 189 /;https://www.otodom.pl/oferta/piekne-mieszkanie-niedawno-wyremontowane-pod-najem-ID3WVk4.html#85fbb29208;2019-03-07 15:26:02.253062
5300/m2 Nowa Huta 66m2 Promocja Cenowa !!!;: Nowa Huta;3 pokoje;347 097 ;65,49 ;5 300 /;https://www.otodom.pl/oferta/5300zl-m2-nowa-huta-66m2-promocja-cenowa-ID3WYhV.html#85fbb29208;2019-03-07 15:26:02.253062
Mieszkanie, 36,35 , Kraków;: Bieńczyce;2 pokoje;265 000 ;36,35 ;7 290 /;https://www.otodom.pl/oferta/mieszkanie-36-35-m-krakow-ID3WYfi.html#85fbb29208;2019-03-07 15:26:02.253062
Apartamet w ścisłym Centrum Krakowa STARE MIASTO;: Stare Miasto;1 pokój;345 000 ;21 ;16 429 /;https://www.otodom.pl/oferta/apartamet-w-scislym-centrum-krakowa-stare-miasto-ID3WYbe.html#85fbb29208;2019-03-07 15:26:02.253062
Prądnik Biały | 3 pokoje | Stan deweloperski;: Prądnik Biały;3 pokoje;455 000 ;65 ;7 000 /;https://www.otodom.pl/oferta/pradnik-bialy-3-pokoje-stan-deweloperski-ID3WY6A.html#85fbb29208;2019-03-07 15:26:02.253062
Mieszkanie w centrum Krakowa 69m2, 3 pokoje;: Grzegórzki;3 pokoje;600 000 ;69 ;8 696 /;https://www.otodom.pl/oferta/mieszkanie-w-centrum-krakowa-69m2-3-pokoje-ID3WY68.html#85fbb29208;2019-03-07 15:26:02.254066
2 pokoje wśród zieleni-doskonała inwestycja;: Bieżanów-Prokocim;2 pokoje;246 200 ;41 ;6 005 /;https://www.otodom.pl/oferta/2-pokoje-wsrod-zieleni-doskonala-inwestycja-ID3WY5S.html#85fbb29208;2019-03-07 15:26:02.254066
Mieszkanie 3 pokojowe - Kraków, 3,5 km od Centrum;: Prądnik Biały;3 pokoje;347 900 ;47 ;7 402 /;https://www.otodom.pl/oferta/mieszkanie-3-pokojowe-krakow-3-5-km-od-centrum-ID3WY5V.html#85fbb29208;2019-03-07 15:26:02.254066
Krowodrza 3 pok. mieszkanie w super lokalizacji !;: Krowodrza;3 pokoje;436 000 ;59 ;7 390 /;https://www.otodom.pl/oferta/krowodrza-3-pok-mieszkanie-w-super-lokalizacji-ID3WY60.html#85fbb29208;2019-03-07 15:26:02.254066
3 pokoje z Ogrodem w malowniczej okolicy Ruczaju;: Ruczaj;3 pokoje;447 000 ;77 ;5 805 /;https://www.otodom.pl/oferta/3-pokoje-z-ogrodem-w-malowniczej-okolicy-ruczaju-ID3WY5O.html#85fbb29208;2019-03-07 15:26:02.254066
Dom w cenie mieszkania! ok. ul. Łokietka;: małopolskie;3 pokoje;384 960 ;64 ;6 015 /;https://www.otodom.pl/oferta/dom-w-cenie-mieszkania-ok-ul-lokietka-ID3WY5K.html#85fbb29208;2019-03-07 15:26:02.254066
Mieszkanie 3 pokojowe - Prądnik Biały!;: Prądnik Biały;3 pokoje;352 800 ;49 ;7 200 /;https://www.otodom.pl/oferta/mieszkanie-3-pokojowe-pradnik-bialy-ID3WY5G.html#85fbb29208;2019-03-07 15:26:02.254066
3 pokojowe mieszkanie - Zielone Bronowice;: Bronowice Wielkie;3 pokoje;340 000 ;50 ;6 800 /;https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-zielone-bronowice-ID3WY4Q.html#85fbb29208;2019-03-07 15:26:02.254066
Po remoncie 3 pokoje balkon park przy bloku;: Bieńczyce;3 pokoje;275 000 ;44,13 ;6 232 /;https://www.otodom.pl/oferta/po-remoncie-3-pokoje-balkon-park-przy-bloku-ID3WY3q.html#85fbb29208;2019-03-07 15:26:02.254066
Dwupokojowe mieszkanie, osiedle Eldorado, Kraków;: Czyżyny;2 pokoje;415 000 ;42 ;9 881 /;https://www.otodom.pl/oferta/dwupokojowe-mieszkanie-osiedle-eldorado-krakow-ID3WXXq.html#85fbb29208;2019-03-07 15:26:02.254066
Kawalerka Nowa Inwestycja Bez Pcc Kraków Bieżanów;: ocień;1 pokój;183 000 ;27 ;6 778 /;https://www.otodom.pl/oferta/kawalerka-nowa-inwestycja-bez-pcc-krakow-biezanow-ID3WXWe.html#85fbb29208;2019-03-07 15:26:02.255068
Kawalerka Nowa Inwestycja Bez Pcc Kraków Bieżanów;: ocień;1 pokój;183 000 ;27 ;6 778 /;https://www.otodom.pl/oferta/kawalerka-nowa-inwestycja-bez-pcc-krakow-biezanow-ID3WXWa.html#85fbb29208;2019-03-07 15:26:02.255068
Kawalerka Nowa Inwestycja Bez Pcc Kraków Bieżanów;: ocień;1 pokój;183 000 ;27 ;6 778 /;https://www.otodom.pl/oferta/kawalerka-nowa-inwestycja-bez-pcc-krakow-biezanow-ID3WXW6.html#85fbb29208;2019-03-07 15:26:02.255068
Kawalerka Nowa Inwestycja Bez Pcc Kraków Bieżanów;: ocień;1 pokój;183 000 ;27 ;6 778 /;https://www.otodom.pl/oferta/kawalerka-nowa-inwestycja-bez-pcc-krakow-biezanow-ID3WXW2.html#85fbb29208;2019-03-07 15:26:02.255068
Kawalerka Nowa Inwestycja Bez Pcc Kraków Bieżanów;: ocień;1 pokój;183 000 ;27 ;6 778 /;https://www.otodom.pl/oferta/kawalerka-nowa-inwestycja-bez-pcc-krakow-biezanow-ID3WXUY.html#85fbb29208;2019-03-07 15:26:02.255068
