,opis,dzielnica,no_rooms,cena,flat_area,price,link,data,ulica,lokator_ulica_dzielnica,geo_location,rodzaj,point,latitude,longitude,altitude
11961,3 pok  71 4m2  Wola Justowska    Zarudawie,": Zwierzyniec, Wola Justowska",3.0,599 000 zł,71.4,8389.0,https://www.otodom.pl/oferta/3-pok-71-4m2-wola-justowska-ul-zarudawie-ID42O0S.html#ed5e70681b,2019-10-08 15:02:29.716085,Justowska,"Kraków : Zwierzyniec, Wola Justowska Justowska","Wola Justowska, Zwierzyniec, Kraków, województwo małopolskie, 30-223, Polska",ulica,"(50.0667259, 19.8687951, 0.0)",50.0667259,19.8687951,0.0
11965,68m2   Legnicka/ wyjątkowe,: Prądnik Biały,3.0,579 000 zł,68.0,8515.0,https://www.otodom.pl/oferta/68m2-ul-legnicka-wyjatkowe-ID42NVn.html#ed5e70681b,2019-10-08 15:02:29.717087,Legnicka,Kraków : Prądnik Biały Legnicka,"Legnicka, Prądnik Biały, Kraków, województwo małopolskie, 31-212, Polska",ulica,"(50.0897049, 19.9516534, 0.0)",50.0897049,19.9516534,0.0
11968,mieszkanie 3 pokojowe 75m2   pl. Łagiewnicki,: Łagiewniki-Borek Fałęcki,3.0,699 000 zł,75.87,9213.0,https://www.otodom.pl/oferta/mieszkanie-3-pokojowe-75m2-pl-lagiewnicki-ID42NWx.html#ed5e70681b,2019-10-08 15:02:29.718090,Łagiewnicka,Kraków : Łagiewniki-Borek Fałęcki Łagiewnicka,"Łagiewnicka, Podgórze, Kraków, województwo małopolskie, 30-417, Polska",ulica,"(50.0318955, 19.9431169, 0.0)",50.0318955,19.9431169,0.0
11970,1 pokój   Turniejowa  34 m2. 275 000 zł,": Podgórze Duchackie, Kurdwanów",1.0,271 000 zł,33.86,8004.0,https://www.otodom.pl/oferta/1-pokoj-ul-turniejowa-34-m2-275-000-zl-ID42NUZ.html#ed5e70681b,2019-10-08 15:02:29.718090,Turniejowa,"Kraków : Podgórze Duchackie, Kurdwanów Turniejowa","Turniejowa, Kurdwanów, Podgórze Duchackie, Kraków, województwo małopolskie, 30-653, Polska",ulica,"(50.0110387, 19.9610862, 0.0)",50.0110387,19.9610862,0.0
11976,Żabiniec  1 pokój  28 m/2. Na sprzedaż,": Prądnik Biały, Żabiniec",1.0,339 000 zł,28.02,12099.0,https://www.otodom.pl/oferta/zabiniec-1-pokoj-28-m-2-na-sprzedaz-ID42NSj.html#ed5e70681b,2019-10-08 15:02:29.718090,Żabiniec,"Kraków : Prądnik Biały, Żabiniec Żabiniec","Żabiniec, Osiedle Żabiniec, Prądnik Biały, Kraków, województwo małopolskie, 31-215, Polska",ulica,"(50.0821999, 19.9463442, 0.0)",50.0821999,19.9463442,0.0
11978,Nowe Studio   29m2   Bronowice   garaz + kom.lok.,: Bronowice,1.0,365 000 zł,29.0,12586.0,https://www.otodom.pl/oferta/nowe-studio-29m2-bronowice-garaz-kom-lok-ID42NOM.html#ed5e70681b,2019-10-08 15:02:29.719096,Bronowicka,Kraków : Bronowice Bronowicka,"Bronowicka, Bronowice, Kraków, województwo małopolskie, 30-091, Polska",ulica,"(50.079245, 19.8970729, 0.0)",50.079245,19.8970729,0.0
11988,Apartament  Wola Justowska  3 pokoje  nowe!,": Zwierzyniec, Wola Justowska",3.0,883 000 zł,73.0,12096.0,https://www.otodom.pl/oferta/apartament-wola-justowska-3-pokoje-nowe-ID42NNB.html#2c5f315d19,2019-10-08 15:02:30.715181,Justowska,"Kraków : Zwierzyniec, Wola Justowska Justowska","Wola Justowska, Zwierzyniec, Kraków, województwo małopolskie, 30-223, Polska",ulica,"(50.0667259, 19.8687951, 0.0)",50.0667259,19.8687951,0.0
11991,2 pokoje    Lentza  Azory 38 m2.,": Prądnik Biały, Azory",2.0,330 000 zł,38.0,8684.0,https://www.otodom.pl/oferta/2-pokoje-ul-lentza-azory-38-m2-ID42NLC.html#2c5f315d19,2019-10-08 15:02:30.715181,Lentza,"Kraków : Prądnik Biały, Azory Lentza","Stanisława Lentza, Azory, Prądnik Biały, Kraków, województwo małopolskie, 31-314, Polska",ulica,"(50.0842806, 19.9090588, 0.0)",50.0842806,19.9090588,0.0
11994,  Królewska  ustawne 4 pokoje  z potencjałem,": Krowodrza, Łobzów",4.0,669 000 zł,77.92,8586.0,https://www.otodom.pl/oferta/ul-krolewska-ustawne-4-pokoje-z-potencjalem-ID42NIO.html#2c5f315d19,2019-10-08 15:02:30.715181,Królewska,"Kraków : Krowodrza, Łobzów Królewska","Królewska, Łobzów, Krowodrza, Kraków, województwo małopolskie, 30-831, Polska",ulica,"(50.0729343, 19.9157288, 0.0)",50.0729343,19.9157288,0.0
11997,Reduta  luksusowe 3 pokoje z balkonami  do wejścia,: Prądnik Czerwony,3.0,550 000 zł,61.39,8959.0,https://www.otodom.pl/oferta/reduta-luksusowe-3-pokoje-z-balkonami-do-wejscia-ID42NIJ.html#2c5f315d19,2019-10-08 15:02:30.715181,Reduta,Kraków : Prądnik Czerwony Reduta,"Reduta, Śródmieście, Prądnik Czerwony, Kraków, województwo małopolskie, 31-422, Polska",ulica,"(50.0990724, 19.9742987, 0.0)",50.0990724,19.9742987,0.0
11999,4 pokojowe mieszkanie z balkonem   Bronowice!,: Bronowice,4.0,446 069 zł,64.93,6870.0,https://www.otodom.pl/oferta/4-pokojowe-mieszkanie-z-balkonem-bronowice-ID42NIo.html#2c5f315d19,2019-10-08 15:02:30.715181,Bronowicka,Kraków : Bronowice Bronowicka,"Bronowicka, Bronowice, Kraków, województwo małopolskie, 30-091, Polska",ulica,"(50.079245, 19.8970729, 0.0)",50.079245,19.8970729,0.0
12017,3 pokoje/57m2/Podgórze Duchackie/  Pszenna,": Podgórze Duchackie, Wola Duchacka",3.0,380 000 zł,57.0,6667.0,https://www.otodom.pl/oferta/3-pokoje-57m2-podgorze-duchackie-ul-pszenna-ID42MOR.html#b16d0810f8,2019-10-08 15:02:31.810134,Duchacka,"Kraków : Podgórze Duchackie, Wola Duchacka Duchacka","Kraków Bonarka, Kładka pieszo-rowerowa, Wola Duchacka, Podgórze Duchackie, Kraków, województwo małopolskie, 30-416, Polska",ulica,"(50.0293189, 19.9462275, 0.0)",50.0293189,19.9462275,0.0
12026,3 pok./53 m2/balkon/Prądnik Czerwony/  Kwartowa,: Prądnik Czerwony,3.0,385 000 zł,53.0,7264.0,https://www.otodom.pl/oferta/3-pok-53-m2-balkon-pradnik-czerwony-ul-kwartowa-ID42Nrh.html#b16d0810f8,2019-10-08 15:02:31.811137,Czerwona,Kraków : Prądnik Czerwony Czerwona,"Czerwona, Olsza II, Prądnik Czerwony, Kraków, województwo małopolskie, 31-424, Polska",ulica,"(50.0849372, 19.9554073, 0.0)",50.0849372,19.9554073,0.0
12030,3 pokoje  zielona część Bronowic,": Prądnik Biały, Bronowice Wielkie",3.0,364 044 zł,46.0,7914.0,https://www.otodom.pl/oferta/3-pokoje-zielona-czesc-bronowic-ID42NoV.html#b16d0810f8,2019-10-08 15:02:31.812140,Dzielna,"Kraków : Prądnik Biały, Bronowice Wielkie Dzielna","Dzielna, Bronowice Wielkie, Prądnik Biały, Kraków, województwo małopolskie, 31-346, Polska",ulica,"(50.0985888, 19.8879762, 0.0)",50.0985888,19.8879762,0.0
12062,Kraków 3 pokoje   Racławicka,: Krowodrza,3.0,481 000 zł,56.6,8498.0,https://www.otodom.pl/oferta/krakow-3-pokoje-ul-raclawicka-ID42MWx.html#0cf2fc9a16,2019-10-08 15:02:32.773398,Racławicka,Kraków : Krowodrza Racławicka,"Racławicka, Nowa Wieś, Krowodrza, Kraków, województwo małopolskie, 30-023, Polska",ulica,"(50.0772475, 19.9206199, 0.0)",50.0772475,19.9206199,0.0
12063,Ładne mieszkanie 2 pok. Centrum Woli Justowskiej,": Zwierzyniec, Wola Justowska",2.0,560 000 zł,62.0,9032.0,https://www.otodom.pl/oferta/ladne-mieszkanie-2-pok-centrum-woli-justowskiej-ID42MR6.html#0cf2fc9a16,2019-10-08 15:02:32.773398,Justowska,"Kraków : Zwierzyniec, Wola Justowska Justowska","Wola Justowska, Zwierzyniec, Kraków, województwo małopolskie, 30-223, Polska",ulica,"(50.0667259, 19.8687951, 0.0)",50.0667259,19.8687951,0.0
12072,Mieszkania 3 pokojowe zielona okolica,: Prądnik Biały,3.0,404 260 zł,58.0,6970.0,https://www.otodom.pl/oferta/mieszkania-3-pokojowe-zielona-okolica-ID42MNE.html#0cf2fc9a16,2019-10-08 15:02:32.774426,Dzielna,Kraków : Prądnik Biały Dzielna,"Dzielna, Bronowice Wielkie, Prądnik Biały, Kraków, województwo małopolskie, 31-346, Polska",ulica,"(50.0985888, 19.8879762, 0.0)",50.0985888,19.8879762,0.0
12081,Prądnik Czerwony 3 pok.z jasną kuchnią 58m² loggia,: Prądnik Czerwony,3.0,428 900 zł,58.0,7395.0,https://www.otodom.pl/oferta/pradnik-czerwony-3-pok-z-jasna-kuchnia-58m-loggia-ID42MLB.html#fd844ed86a,2019-10-08 15:02:34.909812,Czerwona,Kraków : Prądnik Czerwony Czerwona,"Czerwona, Olsza II, Prądnik Czerwony, Kraków, województwo małopolskie, 31-424, Polska",ulica,"(50.0849372, 19.9554073, 0.0)",50.0849372,19.9554073,0.0
12082,Apartamenty na Woli Justowskiej!,": Zwierzyniec, Wola Justowska",3.0,720 300 zł,68.6,10500.0,https://www.otodom.pl/oferta/apartamenty-na-woli-justowskiej-ID42ML2.html#fd844ed86a,2019-10-08 15:02:34.909812,Justowska,"Kraków : Zwierzyniec, Wola Justowska Justowska","Wola Justowska, Zwierzyniec, Kraków, województwo małopolskie, 30-223, Polska",ulica,"(50.0667259, 19.8687951, 0.0)",50.0667259,19.8687951,0.0
12083,Krowodrza 42m2  2 pokoje z jasną kuchnią 2p./4,: Krowodrza,2.0,354 900 zł,52.0,6825.0,https://www.otodom.pl/oferta/krowodrza-42m2-2-pokoje-z-jasna-kuchnia-2p-4-ID42MLw.html#fd844ed86a,2019-10-08 15:02:34.909812,Krowoderska,Kraków : Krowodrza Krowoderska,"Krowoderska, Kleparz, Stare Miasto, Kraków, województwo małopolskie, 32-158, Polska",ulica,"(50.0723986, 19.9317322, 0.0)",50.0723986,19.9317322,0.0
12084,Inwestycja Z Możliwością Nadbudowy   Krowoderska,: Stare Miasto,3.0,500 000 zł,62.0,8065.0,https://www.otodom.pl/oferta/inwestycja-z-mozliwoscia-nadbudowy-krowoderska-ID42MLp.html#fd844ed86a,2019-10-08 15:02:34.909812,Krowoderska,Kraków : Stare Miasto Krowoderska,"Krowoderska, Kleparz, Stare Miasto, Kraków, województwo małopolskie, 31-158, Polska",ulica,"(50.0711433, 19.9341128, 0.0)",50.0711433,19.9341128,0.0
