,opis,dzielnica,no_rooms,cena,flat_area,price,link,data,lokator_dzielnica,ulica,lokator_ulica,geo_location,rodzaj,point,latitude,longitude,altitude
1636,Mieszkanie z widokiem na Wawel.,: Stare Dębniki,1.0,352 000 ,32.0,11000.0,https://www.otodom.pl/oferta/mieszkanie-z-widokiem-na-wawel-ID3Vzu0.html#461619a5cf,2019-03-18 09:21:14.712113,"Krakow , : Stare Dębniki",Wawelu,Kraków Wawelu,"Bazylika archikatedralna pw. Świętych Stanisława i Wacława, 1, Zamek Królewski na Wawelu, Stare Miasto, Kraków, województwo małopolskie, 31-001, Polska",ulica,"(50.05465045, 19.9354553913683, 0.0)",50.05465045,19.9354553913683,0.0
1649,4pok.z ogrodem lokalizacja marzeń!Biuro Sprzedaży!,: małopolskie,4.0,1 266 200 ,96.0,13190.0,https://www.otodom.pl/oferta/4pok-z-ogrodem-lokalizacja-marzen-biuro-sprzedazy-ID3Vzcc.html#948935011d,2019-03-18 09:21:16.891913,"Krakow , : małopolskie",Ogrodem,Kraków Ogrodem,"Za Ogrodem, Grado schody i balutrady, Wzgórza Krzesławickie, Kraków, województwo małopolskie, 31-990, Polska",ulica,"(50.0986422, 20.1175645, 0.0)",50.0986422,20.1175645,0.0
1670,Mieszkanie 1 pok.   Konopnickiej 27m2,: Stare Podgórze,1.0,259 000 ,27.0,9593.0,https://www.otodom.pl/oferta/mieszkanie-1-pok-ul-konopnickiej-27m2-ID3Vz2M.html#948935011d,2019-03-18 09:21:16.894920,"Krakow , : Stare Podgórze",Konopnickiej,Kraków Konopnickiej,"Konopnickiej, Dębniki, Kraków, województwo małopolskie, Polska",ulica,"(50.0527533, 19.9296012179789, 0.0)",50.0527533,19.9296012179789,0.0
1678,Mieszkanie w sercu Krakwa przy Wawelu,: Śródmieście,3.0,957 000 ,80.0,11963.0,https://www.otodom.pl/oferta/mieszkanie-w-sercu-krakwa-przy-wawelu-ID3VyXG.html#731d207af4,2019-03-18 09:21:18.944373,"Krakow , : Śródmieście",Krakowa,Kraków Krakowa,"Muzeum Historyczne Miasta Krakowa Ulica Pomorska, 2, Pomorska, Nowa Wieś, Krowodrza, Kraków, województwo małopolskie, 30-039, Polska",ulica,"(50.0707757, 19.9248071, 0.0)",50.0707757,19.9248071,0.0
1679,Piękne 2 pokojowe mieszkanie w Bronowicach!,: Bronowice,2.0,490 000 ,50.0,9800.0,https://www.otodom.pl/oferta/piekne-2-pokojowe-mieszkanie-w-bronowicach-ID3VyRe.html#731d207af4,2019-03-18 09:21:18.944373,"Krakow , : Bronowice",Bronowicka,Kraków Bronowicka,"Bronowicka, Bronowice, Kraków, województwo małopolskie, 30-122, Polska",ulica,"(50.0775327, 19.9016366, 0.0)",50.0775327,19.9016366,0.0
1681,Polecam Ugorek 35m2 1p/X dwa balkony!!!po remoncie,: Ugorek,1.0,280 000 ,35.16,7964.0,https://www.otodom.pl/oferta/polecam-ugorek-35m2-1p-x-dwa-balkony-po-remoncie-ID3VyKU.html#731d207af4,2019-03-18 09:21:18.944875,"Krakow , : Ugorek",Ugorek,Kraków Ugorek,"Ugorek, Prądnik Czerwony, Kraków, województwo małopolskie, Polska",ulica,"(50.0770309, 19.9814802435134, 0.0)",50.0770309,19.9814802435134,0.0
1696,Dla inwestora  56 m2 do podziału  Stare Miasto,: Stare Miasto,3.0,570 000 ,56.0,10179.0,https://www.otodom.pl/oferta/dla-inwestora-56-m2-do-podzialu-stare-miasto-ID3Vy2Y.html#731d207af4,2019-03-18 09:21:18.946379,"Krakow , : Stare Miasto",Starego,Kraków Starego,"Zygmunta Starego, Mydlniki, Bronowice, Kraków, województwo małopolskie, 30-198, Polska",ulica,"(50.0801801, 19.8536978, 0.0)",50.0801801,19.8536978,0.0
1699,Apartament Wola Justowska Bronowice  bez prowizji!,: małopolskie,4.0,632 232 ,75.78,8343.0,https://www.otodom.pl/oferta/apartament-wola-justowska-bronowice-bez-prowizji-ID3VxPu.html#731d207af4,2019-03-18 09:21:18.946880,"Krakow , : małopolskie",Justowska,Kraków Justowska,"Justowska, Osiedle Widok Zarzecze, Bronowice, Kraków, województwo małopolskie, 30-138, Polska",ulica,"(50.0754855, 19.8840381, 0.0)",50.0754855,19.8840381,0.0
1712,Dwa poziomy duży ogródek Wola Justowska Bronowice!,: małopolskie,6.0,959 159 ,110.05,8716.0,https://www.otodom.pl/oferta/dwa-poziomy-duzy-ogrodek-wola-justowska-bronowice-ID3VxGo.html#acddc40820,2019-03-18 09:21:20.724610,"Krakow , : małopolskie",Justowska,Kraków Justowska,"Justowska, Osiedle Widok Zarzecze, Bronowice, Kraków, województwo małopolskie, 30-138, Polska",ulica,"(50.0754855, 19.8840381, 0.0)",50.0754855,19.8840381,0.0
1714,Inwestycyjne centrum Krakowa .,: Śródmieście,2.0,275 000 ,28.96,9496.0,https://www.otodom.pl/oferta/inwestycyjne-centrum-krakowa-ID3VxDO.html#acddc40820,2019-03-18 09:21:20.725112,"Krakow , : Śródmieście",Krakowa,Kraków Krakowa,"Muzeum Historyczne Miasta Krakowa Ulica Pomorska, 2, Pomorska, Nowa Wieś, Krowodrza, Kraków, województwo małopolskie, 30-039, Polska",ulica,"(50.0707757, 19.9248071, 0.0)",50.0707757,19.9248071,0.0
1715,Olsza  2 Pok  Jasna Kuchnia  Balkon,: Rakowice,2.0,325 000 ,36.0,9028.0,https://www.otodom.pl/oferta/olsza-2-pok-jasna-kuchnia-balkon-ID3VxDK.html#acddc40820,2019-03-18 09:21:20.725112,"Krakow , : Rakowice",Jasna,Kraków Jasna,"Jasna, Prądnik Biały, Kraków, województwo małopolskie, 31-226, Polska",ulica,"(50.0951436, 19.9233354, 0.0)",50.0951436,19.9233354,0.0
1723,2 Pokoje obok Carrefour Czyżyny !!!,: Czyżyny,2.0,237 000 ,41.0,5780.0,https://www.otodom.pl/oferta/2-pokoje-obok-carrefour-czyzyny-ID3Vxo4.html#acddc40820,2019-03-18 09:21:20.726114,"Krakow , : Czyżyny",Pokoju,Kraków Pokoju,"Aleja Pokoju, Czyżyny, Kraków, województwo małopolskie, 31-982, Polska",ulica,"(50.0726746, 20.0168791, 0.0)",50.0726746,20.0168791,0.0
1728,Nowe mieszkanie w pobliżu centrum Krakowa,: małopolskie,3.0,509 150 ,59.9,8500.0,https://www.otodom.pl/oferta/nowe-mieszkanie-w-poblizu-centrum-krakowa-ID3VxkI.html#acddc40820,2019-03-18 09:21:20.726616,"Krakow , : małopolskie",Krakowa,Kraków Krakowa,"Muzeum Historyczne Miasta Krakowa Ulica Pomorska, 2, Pomorska, Nowa Wieś, Krowodrza, Kraków, województwo małopolskie, 30-039, Polska",ulica,"(50.0707757, 19.9248071, 0.0)",50.0707757,19.9248071,0.0
1731,Nowe mieszkanie w pobliżu centrum Krakowa,: małopolskie,4.0,1 057 221 ,106.79,9900.0,https://www.otodom.pl/oferta/nowe-mieszkanie-w-poblizu-centrum-krakowa-ID3Vx9O.html#acddc40820,2019-03-18 09:21:20.727117,"Krakow , : małopolskie",Krakowa,Kraków Krakowa,"Muzeum Historyczne Miasta Krakowa Ulica Pomorska, 2, Pomorska, Nowa Wieś, Krowodrza, Kraków, województwo małopolskie, 30-039, Polska",ulica,"(50.0707757, 19.9248071, 0.0)",50.0707757,19.9248071,0.0
1741,Ładne 4 pokojowe mieszkanie 82 m2 na Ruczaju.,: Ruczaj,4.0,520 000 ,82.0,6341.0,https://www.otodom.pl/oferta/ladne-4-pokojowe-mieszkanie-82-m2-na-ruczaju-ID3Vx6Y.html#0152a09993,2019-03-18 09:21:22.949029,"Krakow , : Ruczaj",Ruczaj,Kraków Ruczaj,"Ruczaj, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-409, Polska",ulica,"(50.0254477, 19.9220913, 0.0)",50.0254477,19.9220913,0.0
1745,Nowe mieszkanie w pobliżu centrum Krakowa,: małopolskie,2.0,452 311 ,46.63,9700.0,https://www.otodom.pl/oferta/nowe-mieszkanie-w-poblizu-centrum-krakowa-ID3VvZa.html#0152a09993,2019-03-18 09:21:22.949530,"Krakow , : małopolskie",Krakowa,Kraków Krakowa,"Muzeum Historyczne Miasta Krakowa Ulica Pomorska, 2, Pomorska, Nowa Wieś, Krowodrza, Kraków, województwo małopolskie, 30-039, Polska",ulica,"(50.0707757, 19.9248071, 0.0)",50.0707757,19.9248071,0.0
